Term;Abbreviation
"p-benzoquinone dioxime
";PBQD
"piperidinium pentamethylenedithiocarbamate
";P5MC
"selenium diethyldithiocarbamate
";SeDEC
"selenium dimethyldithiocarbamate
";SeMDC
"triallyl cyanurate
";TAC
"triallyl isocyanurate
";TAIC
"N-t-butyl-2-benzothiazyl sulfenamide
";TBBS
"t-butyl-2-benzothiazyl sulfenimide
";TBSI
"tetrabutylthiuram disulfide
";TBTD
"N,N,N'-tributylthiourea
";TBTU
"tetrabenzylthiuram disulfide
";TBzTD
"tricrotonylidenetetramine
";TCT
"tellurium diethyldithiocarbamate
";TeDEC
"tellurium dimethyldithiocarbamate
";TeDMC
"tetraisobutylthiuram disulfide
";TIBTD
"tetraethylthiuram disulfide
";TETD
"tetramethylthiuram disulfide
";TMTD
"tetramethylthiuram monosulfide
";TMTM
"thiourea
";TU
"zinc butylxanthate
";ZnBX
"zinc dibutyldithiocarbamate
";ZnDBC
"zinc dibutyldithiophosphate
";ZnDBP
"zinc dibenzyldithiocarbamate
";ZnDBzC
"zinc diethyldithiocarbamate
";ZnDEC
"zinc diisobutyldithiocarbamate
";ZnDIBC
"zinc dimethyldithiocarbamate
";ZnDMC
"zinc ethylhexyl-n-butyldithiophosphate
";ZnEHBP
"zinc ethylphenyldithiocarbamate
";ZnEPC
"zinc ethylxanthate
";ZnEX
"zinc isopropylxanthate
";ZnIX
"zinc-2-mercaptobenzothiazole
";ZnMBT
"zinc pentamethylenedithiocarbamate
";Zn5MC
"1, 4-bis-(t-butylperoxyisopropyl) benzene
";BBPIB
"benzoyl peroxide
";BPO
"n-butyl bis (4,4-tert-butylperoxy) valerate
";BPV
"1,1-bis (butylperoxy)-3,5,5-trimethyl-cyclohexane
";DBPC
"2,4-dichlorobenzoyl peroxide
";DCPB
"dicumyl peroxide
";DCP
"2,5-dimethyl-2,5-di-(butyl peroxy) hexane
";DMBPHa
"2,5-dimethyl-2,5-di-(butyl peroxy) hexyne-3
";DMBPHy
"di-t-butyl peroxide
";DTBP
"ethyl-3,3 bis (butyl peroxy) butryate
";EBPB
"4-methyl-2,2-bis-(butyl peroxy) pentane
";MBPP
"butyl cumyl peroxide
";TBCP
"toluene sulfonylsemicarbazide
";TSS
"aldol-Î±-naphthylamine
";AANA
"acetone diphenylamine condensation product
";ADPA
"N-alkyl-N'-phenyl-p -phenylenediamine
";APPD
"4,4'-butylidene-bis-(6-t-butyl-m-cresol)
";p-BBp14
"butylated hydroxyanisole
";BHA
"2, 6-di-butyl-4-methylphenol (butylated hydroxy toluene)
";BHT
"N-cyclohexyl-N'-phenyl-p-phenylenediamine
";CPPD
"2,5-di-tert-butylhydroquinone
";DBHQ
"dilauryl thiodipropionate
";DLTDP
" N,N'-bis-(1-methylheptyl)-p-phenylenediamine
";I88PD
"This is a specific isomer of N,N'-dioctyl- p-phenylenediamine
";NOTE 1
"N, N'-di-2-naphthyl-p-phenylenediamine
";DNPD
"N,N'-dioctyl- p-phenylenediamine
";DOPD
"diphenylamine
";DPA
"N,N'-diphenyl-p-phenylenediamine
";DPPD
"distearylthiodipropionate
";DSTDP
"N,N'-ditolyl-p-phenylenediamine
";DTPD
"6-ethoxy-1,2-dihydro-2,2,4-trimethylquinoline
";ETMQ
"2,2'-isobutylidene-bis-(4,6-di-methylphenol)
";o-IBBp11
"polybutylated bisphenol A
";p-IPBp(4)n
"N-isopropyl-N '-phenyl-p-phenylenediamine
";IPPD
"2-mercaptobenzimidazole
";MBI
"2,2'-methylene-bis-(4-methyl-6-cyclohexylphenol)
";o-MBp1C
"2,2'-methylene-bis-[6-(1-methylcyclohexyl)p-cresol]
";o-MBp1(1C)
"2,2'-methylene-bis-(4-methyl-6-t-butylphenol)
";o-MBp14
"2,2'-methylene-bis-(4-methyl-6-nonylphenol)
";o-MBp19
"2,2'-methylene-bis-(4-ethyl-6-t-butylphenol)
";o-MBp24
"4,4'-methylene-bis-(2,6-di-t-butylphenol)
";p-MBp44
"methyl-2-mercaptobenzimidazole
";MMBI
"nickel dibutyldithiocarbamate
";NiDBC
"octylated diphenylamine
";8DPA
"N-phenyl-alpha-naphthylamine
";PAN
"N-phenyl-beta-naphthylamine
";PBN
"N-phenyl-N'-2-octyl-p-phenylenediamine
";i-8PPD
"p-isopropoxylateddiphenylamine
";P3DPA
"styrenated diphenylamine
";SPDA
"styrenated phenol
";SPH
"4,4'-butylidene-bis-(2- t-butyl-m-cresol)
";p-BBp14
"4,4'-thio-bis-(2- t-butyl-m-cresol)
";p-TBp14
"2,5-di-amylhydroquinone
";TAHQ
"2,2,4-trimethyl-1,2-dihdroquinoline (oligomer)
";TMQ
"tri(nonylphenyl)phosphite
";TNPP
"zinc dialkylphosphorodithioate
";ZnDPT
"zinc-2-mercaptobenzimidazole
";ZnMBI
"zinc-methyl-2-mercaptobenzimidazole
";ZnMMBI
"N-(1,3-dimethylbutyl)-N'-phenyl-pphenylenediamine
";6PPD
"N-phenyl-N'-(1,3-dimethylbutyl)-2,5-cyclohexadiene-1,4-diimine
";6QDI
"N-(1,4-dimethylpentyl)-N'-phenyl-pphenylenediamine
";7PPD
"N,N'-bis-(1,4-dimethylpentyl)-p-phenylenediamine
";77PD
"N-octyl-N'-phenyl-p-phenylenediamine
";8PPD
"N,N'-dioctyl-p-phenylenediamine
";88PD
"nonylated diphenylamine
";9DPA
"ethylated/nonylated diphenylamine
";29DPA
"butylated/octylated diphenylamine
";48DPA
"butyl octyl phthalate
";BOP
"dibutyl phthalate
";DBP
"dibutyl sebacate
";DBS
"dicyclohexyl phthalate
";DCHP
"diethyl phthalate
";DEP
"diisobutyl adipate
";DIBA
"diisobutyl phthalate
";DIBP
"diisodecyl adipate
";DIDA
"diisodecyl phthalate
";DIDP
"diisooctyl adipate
";DIOA
"diisooctyl phthalate
";DIOP
"dimethyl phthalate
";DMP
"dimethyl sebacate
";DMS
"dioctyl adipate
";DOA
"dioctyl phthalate
";DOP
"di-(2-ethylhexyl) phthalate
";DOP
"dioctyl sebacate
";DOS
"dioctyl terephthalate
";DOTP
"di-(2-ethylhexyl) terephthalate
";DOTP
"diphenyl cresyl phosphate
";DPCF
"diphenyl octyl phosphate
";DPOF
"diphenyl phthalate
";DPP
"diundecyl phthalate
";DUP
"epoxidized linseed oil
";ELO
"epoxidized soya bean oil
";ESO
"octyl decyl adipate
";ODA
"trichloroethyl phosphate
";TCEF
"cresyl phosphate
";TCF
"trioctyl phosphate
";TOF
"trioctyl trimellitate
";TOTM
"diethanolamine
";DEA
"diethylene glycol
";DEG
"glyceryl trimethacrylate
";GTMA
"polyethylene glycol
";PEG
"polypropylene glycol
";PPG
"polyvinyl methyl ether
";PVME
"sodium pentachlorophenate
";NaPCP
"triethanolamine
";TEA
"zinc 2-ethylhexanoate (zinc octoate)
";ZnEH
"1,4-cyclohexane diisocyanate
";CHDI
"1,6-hexamethylene diisocyanate
";HDI
"4,4'-dicyclohexylmethane diisocyanate
";HMDI
"isophorone diisocyanate
";IPDI
"4,4'-diphenylmethane diisocyanate
";MDI
"naphthalene-1,5-diisocyanate
";NDI
"polymethylene polyphenyl isocyanate
";PMPPI
"p-phenylene diisocyanate
";PPDI
"toluene diisocyanate
";TDI
"2,2,4- and 2,4,4-trimethyl hexamethylene diisocyanate
";TMDI
"m-tetramethylxylylene diisocyanate
";TMXDI
"4,4',4""-triphenylmethane triisocyanate
";TTI
"tris-(p-iscyanatophenyl)-thiophosphate
";TIPT
"N-(cyclohexylthio)phthalimide
";CTP
"N-nitroso diphenylamine
";NDPA
"phthalic anhydride
";PTA
"salicylic acid
";SA
"1,3-bis(citraconimidomethyl)benzene
";DCIMX
hexamethylene-1,6-bis(thiosulfate) disodium salt dihydrate;DHTS
Para-phenylene-terephthalamide;PPTA
